"mr","aks","td"
.6200000000e-2,.1344000000,.6200000000e-2
.3200000000e-2,.1468000000,.6200000000e-2
.6200000000e-2,.1626000000,.9400000000e-2
.3000000000e-2,.1814000000,.6200000000e-2
.6200000000e-2,.1812000000,.9400000000e-2
.3200000000e-2,.2124000000,.1580000000e-1
.3000000000e-2,.2062000000,.1260000000e-1
.3200000000e-2,.2342000000,.6400000000e-2
.6200000000e-2,.2250000000,.1240000000e-1
.6400000000e-2,.2624000000,.6200000000e-2
.6400000000e-2,.2530000000,.6400000000e-2
.6200000000e-2,.2780000000,.6400000000e-2
.6200000000e-2,.2406000000,.6200000000e-2
.1260000000e-1,.3594000000,.6200000000e-2
.6200000000e-2,.3220000000,.6200000000e-2
.6200000000e-2,.3688000000,.9400000000e-2
.3000000000e-2,.3376000000,.6200000000e-2
.6200000000e-2,.3344000000,.6200000000e-2
.6400000000e-2,.3624000000,.6200000000e-2
.6400000000e-2,.3686000000,.6400000000e-2
.6200000000e-2,.3124000000,.6400000000e-2
.3000000000e-2,.4064000000,.9200000000e-2
.3200000000e-2,.4000000000,.6200000000e-2
.6400000000e-2,.3530000000,.9400000000e-2
.3200000000e-2,.3468000000,.6200000000e-2
.6400000000e-2,.4436000000,.9400000000e-2
.6200000000e-2,.4408000000,.1860000000e-1
.6400000000e-2,.4092000000,.6400000000e-2
.6200000000e-2,.3532000000,.6200000000e-2
.6200000000e-2,.3812000000,.6400000000e-2
.6200000000e-2,.3562000000,.6200000000e-2
.6400000000e-2,.3906000000,.6200000000e-2
.6200000000e-2,.5344000000,.6200000000e-2
.3200000000e-2,.4468000000,.6400000000e-2
.6200000000e-2,.5530000000,.2820000000e-1
.3200000000e-2,.5186000000,.6200000000e-2
.3200000000e-2,.4968000000,.6400000000e-2
.6200000000e-2,.4344000000,.6200000000e-2
.3200000000e-2,.4656000000,.6200000000e-2
.6200000000e-2,.5970000000,.6200000000e-2
.6200000000e-2,.4094000000,.9400000000e-2
.6200000000e-2,.5968000000,.6400000000e-2
.3000000000e-2,.4406000000,.9400000000e-2
.3200000000e-2,.4874000000,.6400000000e-2
.2180000000e-1,.4876000000,.1860000000e-1
.3200000000e-2,.5594000000,.9400000000e-2
.3000000000e-2,.5406000000,.2200000000e-1
.6200000000e-2,.4188000000,.2500000000e-1
.6200000000e-2,.6656000000,.6200000000e-2
.6400000000e-2,.5968000000,.6200000000e-2
.3200000000e-2,.5406000000,.6200000000e-2
.6400000000e-2,.5186000000,.6400000000e-2
.6200000000e-2,.5000000000,.9400000000e-2
.3000000000e-2,.6188000000,.9400000000e-2
.3200000000e-2,.6062000000,.6200000000e-2
.6200000000e-2,.5782000000,.6200000000e-2
.6200000000e-2,.5126000000,.6200000000e-2
.6200000000e-2,.8470000000,.2180000000e-1
.6200000000e-2,.4344000000,.9400000000e-2
.3200000000e-2,.6344000000,.6200000000e-2
.3200000000e-2,.5906000000,.9400000000e-2
.3000000000e-2,.6970000000,.6200000000e-2
.6200000000e-2,.7532000000,.9400000000e-2
.3000000000e-2,.4470000000,.6200000000e-2
.6200000000e-2,.6062000000,.6400000000e-2
.6200000000e-2,.5812000000,.9400000000e-2
.3200000000e-2,.6530000000,.6200000000e-2
.3200000000e-2,.7156000000,.6200000000e-2
.6400000000e-2,.7500000000,.6200000000e-2
.6200000000e-2,.5438000000,.1560000000e-1
.6200000000e-2,.5782000000,.6200000000e-2
.6200000000e-2,.6876000000,.9400000000e-2
.3000000000e-2,.5876000000,.2180000000e-1
.3200000000e-2,.6094000000,.6200000000e-2
.6200000000e-2,.9126000000,.9400000000e-2
.3000000000e-2,.7532000000,.6200000000e-2
.3200000000e-2,.6124000000,.6400000000e-2
.3000000000e-2,.6532000000,.6200000000e-2
.6200000000e-2,.7000000000,.1880000000e-1
.6200000000e-2,.6564000000,.6200000000e-2
.6200000000e-2,.6250000000,.9400000000e-2
.3200000000e-2,.8780000000,.9400000000e-2
.3200000000e-2,.6280000000,.9400000000e-2
.3200000000e-2,.5280000000,.9400000000e-2
.3200000000e-2,.7844000000,.6200000000e-2
.6200000000e-2,.9094000000,.9400000000e-2
.3200000000e-2,.6936000000,.6400000000e-2
.6200000000e-2,.8218000000,.9400000000e-2
.3200000000e-2,.6562000000,.9400000000e-2
.3200000000e-2,.8218000000,.6200000000e-2
.6200000000e-2,.8250000000,.9400000000e-2
.3200000000e-2,.7656000000,.9400000000e-2
.3200000000e-2,.7656000000,.9400000000e-2
.3000000000e-2,.9906000000,.9400000000e-2
.3200000000e-2,.5594000000,.6200000000e-2
.6200000000e-2,.8688000000,.6200000000e-2
.6200000000e-2,.8470000000,.1880000000e-1
.3000000000e-2,.8312000000,.6400000000e-2
.3000000000e-2,.6126000000,.9400000000e-2
.3000000000e-2,.7656000000,.9400000000e-2
