,nums,mr,stepsize
0,0,0.015034349999950791,1000000
1,1,0.01797980000003463,1000000
2,2,0.019487400000002708,1000000
3,3,0.023419950000061363,1000000
4,4,0.021662349999928665,1000000
5,5,0.012920349999944847,1000000
6,6,0.013383099999941805,1000000
7,7,0.01298260000010032,1000000
8,8,0.013248399999952198,1000000
9,9,0.013332300000001851,1000000
10,10,0.014053849999982049,1000000
11,11,0.013125650000006317,1000000
12,12,0.012994749999961641,1000000
13,13,0.013281750000032844,1000000
14,14,0.013177649999988716,1000000
15,15,0.012810000000058608,1000000
16,16,0.012699349999934384,1000000
17,17,0.012626450000084333,1000000
18,18,0.013735200000041914,1000000
19,19,0.014275999999995292,1000000
20,20,0.012784549999992123,1000000
21,21,0.012802449999981036,1000000
22,22,0.013856450000048426,1000000
23,23,0.012826299999915136,1000000
24,24,0.013461049999932584,1000000
25,25,0.01284924999993109,1000000
26,26,0.013579850000041915,1000000
27,27,0.013626450000060686,1000000
28,28,0.013989550000019335,1000000
29,29,0.013683199999945828,1000000
30,30,0.012891200000012759,1000000
31,31,0.013492400000018279,1000000
32,32,0.01461885000003349,1000000
33,33,0.013233649999961017,1000000
34,34,0.012947150000059082,1000000
35,35,0.013068000000089341,1000000
36,36,0.01275745000009465,1000000
37,37,0.013708000000065113,1000000
38,38,0.012974699999972472,1000000
39,39,0.01367609999999786,1000000
40,40,0.014039350000075501,1000000
41,41,0.014363300000013624,1000000
42,42,0.013615800000025047,1000000
43,43,0.013281500000061897,1000000
44,44,0.012579600000094615,1000000
45,45,0.013552699999991091,1000000
46,46,0.012442400000054477,1000000
47,47,0.012814349999985097,1000000
48,48,0.013026449999983924,1000000
49,49,0.012887999999975364,1000000
50,50,0.012571750000006432,1000000
51,51,0.013744250000058855,1000000
52,52,0.014098699999976816,1000000
53,53,0.013253899999995156,1000000
54,54,0.012842549999959374,1000000
55,55,0.013447349999978542,1000000
56,56,0.013485800000012205,1000000
57,57,0.012680799999998271,1000000
58,58,0.013272249999999985,1000000
59,59,0.01270980000003874,1000000
60,60,0.012498749999963366,1000000
61,61,0.014219949999983328,1000000
62,62,0.012999550000017734,1000000
63,63,0.013433949999921424,1000000
64,64,0.013582599999949707,1000000
65,65,0.013704349999898113,1000000
66,66,0.013620949999904042,1000000
67,67,0.013275399999997717,1000000
68,68,0.01285649999999805,1000000
69,69,0.013141499999960615,1000000
70,70,0.013021900000012465,1000000
71,71,0.012781350000068414,1000000
72,72,0.01329665000002933,1000000
73,73,0.013371000000006461,1000000
74,74,0.01348829999994905,1000000
75,75,0.013433250000048247,1000000
76,76,0.013655050000011215,1000000
77,77,0.013215849999937745,1000000
78,78,0.013830600000005688,1000000
79,79,0.012899250000032225,1000000
80,80,0.012901849999934711,1000000
81,81,0.01298349999990478,1000000
82,82,0.014231549999976778,1000000
83,83,0.013559250000071188,1000000
84,84,0.013778399999978319,1000000
85,85,0.013749249999932545,1000000
86,86,0.012866349999967497,1000000
87,87,0.013362750000055712,1000000
88,88,0.013729949999969904,1000000
89,89,0.013990199999966535,1000000
90,90,0.013305450000075325,1000000
91,91,0.013702299999977186,1000000
92,92,0.013528099999916776,1000000
93,93,0.01355039999998553,1000000
94,94,0.013624049999975796,1000000
95,95,0.013195199999927354,1000000
96,96,0.012939749999986816,1000000
97,97,0.013292350000028819,1000000
