"mr","td"
4.972000000,10.53420000
4.837600000,11.45000000
4.803200000,11.95920000
4.750000000,12.37500000
4.722000000,12.91880000
4.712400000,12.93120000
4.706400000,13.15000000
4.696800000,13.36880000
4.665600000,13.55000000
4.675000000,13.79060000
4.650000000,13.97820000
4.640600000,14.18120000
4.703200000,14.40620000
4.643800000,14.64060000
4.647000000,14.75000000
4.643600000,14.79700000
4.587400000,14.94700000
4.596800000,15.08120000
4.584400000,15.25000000
4.575000000,15.35940000
4.587600000,15.50300000
4.572000000,15.67500000
4.571800000,15.77500000
4.562400000,15.85640000
4.571800000,15.96560000
4.568800000,16.13740000
4.556400000,16.20620000
4.562400000,16.33760000
4.550000000,16.46240000
4.550000000,16.57820000
4.556200000,16.65320000
4.556200000,16.80620000
4.572000000,17.00940000
4.568600000,17.03140000
4.540600000,17.09060000
4.534400000,17.14680000
4.547000000,17.31240000
4.556200000,17.49700000
4.528000000,17.49700000
4.525000000,17.69680000
4.537600000,17.79680000
4.503200000,17.70920000
4.522000000,17.79680000
4.522000000,18.02180000
4.540600000,18.03120000
4.512600000,18.05940000
4.525000000,18.18440000
4.531200000,18.24060000
4.603200000,18.48420000
4.525000000,18.53760000
4.509400000,18.65300000
4.512600000,18.51880000
4.518600000,18.78140000
4.600000000,18.78440000
4.578000000,18.92200000
4.503000000,19.00000000
4.509400000,18.99380000
4.518800000,19.06240000
4.512600000,19.33420000
4.518800000,19.35620000
4.503200000,19.38760000
4.500000000,19.37180000
4.506200000,19.46880000
4.503200000,19.47800000
4.493800000,19.57500000
4.509400000,19.68740000
4.578200000,19.73120000
4.509400000,19.83120000
4.525000000,19.94700000
4.496800000,20.14680000
4.500000000,20.20640000
4.503000000,20.12200000
4.493600000,20.23440000
4.484400000,20.25620000
4.478200000,20.31560000
4.484400000,20.39380000
4.493800000,20.52180000
4.481200000,20.49060000
4.493800000,20.65940000
4.490600000,20.66880000
4.506200000,20.68440000
4.509400000,20.84380000
4.493600000,20.95940000
4.481200000,20.94380000
4.472000000,21.03740000
4.490600000,21.16880000
4.484400000,21.16880000
4.475000000,21.26240000
4.471800000,21.20940000
4.500000000,21.33440000
4.484400000,21.32820000
4.478000000,21.43440000
4.484400000,21.58120000
4.487600000,21.54060000
4.478200000,21.57500000
4.503000000,21.73760000
4.468600000,21.74700000
4.459400000,21.81560000
4.487400000,21.85320000
4.462400000,21.86580000
