,nums,mr,td
0,43,0,0.0
1,45,0,0.0
2,47,0,0.0
3,49,0,0.0
4,51,0,5.120001151226461e-06
5,53,0,0.0
6,55,0,0.0
7,57,0,0.0
8,59,0,0.0
9,61,0,0.0
10,63,0,0.0
11,65,0,0.0
12,67,0,0.0
13,69,0,0.0
14,71,0,0.0
15,73,0,0.0
16,75,0,0.0
17,77,0,0.0
18,79,0,0.0
19,81,0,0.0
20,83,0,0.0
21,85,0,0.0
22,87,0,0.0
23,89,0,0.0
24,91,0,0.0
25,93,0,0.0
26,95,0,0.0
27,97,0,0.0
28,99,0,0.0
29,101,0,0.0
30,103,0,0.0
31,105,0,0.0
32,107,0,0.0
33,109,0,0.0
34,111,0,0.0
35,113,0,0.0
36,115,0,0.0
37,117,0,0.0
38,119,0,0.0
39,121,0,0.0
40,123,0,0.0
41,125,0,0.0
42,127,0,0.0
43,129,0,0.0
44,131,0,0.0
45,133,0,0.0
46,135,0,0.0
47,137,0,0.0
48,139,0,0.0
49,141,0,0.0
50,143,0,0.0
51,145,0,0.0
52,147,0,0.0
53,149,0,0.0
54,151,0,0.0
55,153,0,0.0
56,155,0,0.0
57,157,0,0.0
58,159,0,0.0
59,161,0,0.0
60,163,0,0.0
61,165,0,0.0
62,167,0,0.0
63,169,0,0.0
64,171,0,0.0
65,173,0,0.0
66,175,0,0.0
67,177,0,0.0
68,179,0,0.0
69,181,0,0.0
70,183,0,0.0
71,185,0,0.0
72,187,0,0.0
73,189,0,0.0
74,191,0,0.0
75,193,0,0.0
76,195,0,0.0
77,197,0,0.0
78,199,0,0.0
79,201,0,0.0
80,203,0,0.0
81,205,0,0.0
82,207,0,0.0
83,209,0,0.0
84,211,0,0.0
85,213,0,0.0
86,215,0,0.0
87,217,0,0.0
88,219,0,0.0
89,221,0,0.0
90,223,0,0.0
91,225,0,0.0
92,227,0,0.0
93,229,0,0.0
94,231,0,0.0
95,233,0,0.0
96,235,0,0.0
97,237,0,0.0
98,239,0,0.0
99,241,0,0.0
100,243,0,0.0
101,245,0,0.0
102,247,0,0.0
103,249,0,0.0
104,251,0,0.0
105,253,0,0.0
106,255,0,0.0
107,257,0,0.0
108,259,0,0.0
109,261,0,0.0
110,263,0,0.0
111,265,0,0.0
112,267,0,0.0
113,269,0,0.0
114,271,0,0.0
115,273,0,0.0
116,275,0,0.0
117,277,0,0.0
118,279,0,0.0
119,281,0,0.0
120,283,0,0.0
121,285,0,0.0
122,287,0,0.0
123,289,0,0.0
124,291,0,0.0
125,293,0,0.0
126,295,0,0.0
127,297,0,0.0
128,299,0,0.0
129,301,0,0.0
130,303,0,0.0
131,305,0,0.0
132,307,0,0.0
133,309,0,0.0
134,311,0,0.0
135,313,0,0.0
136,315,0,0.0
137,317,0,0.0
138,319,0,0.0
139,321,0,0.0
140,323,0,0.0
141,325,0,0.0
142,327,0,0.0
143,329,0,0.0
144,331,0,0.0
145,333,0,0.0
146,335,0,0.0
147,337,0,0.0
148,339,0,0.0
149,341,0,0.0
150,343,0,0.0
151,345,0,0.0
152,347,0,0.0
153,349,0,0.0
154,351,0,0.0
155,353,0,0.0
156,355,0,0.0
157,357,0,0.0
158,359,0,0.0
159,361,0,0.0
160,363,0,0.0
161,365,0,0.0
162,367,0,0.0
163,369,0,0.0
164,371,0,0.0
165,373,0,0.0
166,375,0,0.0
167,377,0,0.0
168,379,0,0.0
169,381,0,0.0
170,383,0,0.0
171,385,0,0.0
172,387,0,0.0
173,389,0,0.0
174,391,0,0.0
175,393,0,0.0
176,395,0,0.0
177,397,0,0.0
178,399,0,0.0
179,401,0,0.0
180,403,0,0.0
181,405,0,0.0
182,407,0,0.0
183,409,0,0.0
184,411,0,0.0
185,413,0,0.0
186,415,0,0.0
187,417,0,0.0
188,419,0,0.0
189,421,0,0.0
190,423,0,0.0
191,425,0,0.0
192,427,0,0.0
193,429,0,0.0
194,431,0,0.0
195,433,0,0.0
196,435,0,0.0
197,437,0,0.0
198,439,0,0.0
199,441,0,0.0
200,443,0,0.0
201,445,0,0.0
202,447,0,0.0
203,449,0,0.0
204,451,0,0.0
205,453,0,0.0
206,455,0,0.0
207,457,0,0.0
208,459,0,0.0
209,461,0,0.0
210,463,0,0.0
211,465,0,0.0
212,467,0,0.0
213,469,0,0.0
214,471,0,0.0
215,473,0,0.0
216,475,0,0.0
217,477,0,0.0
218,479,0,0.0
219,481,0,0.0
220,483,0,0.0
221,485,0,0.0
222,487,0,0.0
223,489,0,0.0
224,491,0,0.0
225,493,0,0.0
226,495,0,0.0
227,497,0,0.0
228,499,0,0.0
229,501,0,0.0
230,503,0,0.0
231,505,0,0.0
232,507,0,0.0
233,509,0,0.0
234,511,0,0.0
235,513,0,0.0
236,515,0,0.0
237,517,0,0.0
238,519,0,0.0
239,521,0,0.0
240,523,0,0.0
241,525,0,0.0
242,527,0,0.0
243,529,0,0.0
244,531,0,0.0
245,533,0,0.0
246,535,0,0.0
247,537,0,0.0
248,539,0,0.0
249,541,0,0.0
250,543,0,0.0
251,545,0,0.0
252,547,0,0.0
253,549,0,0.0
254,551,0,0.0
255,553,0,0.0
256,555,0,0.0
257,557,0,0.0
258,559,0,0.0
259,561,0,0.0
260,563,0,0.0
261,565,0,0.0
262,567,0,0.0
263,569,0,0.0
264,571,0,0.0
265,573,0,0.0
266,575,0,0.0
267,577,0,0.0
268,579,0,0.0
269,581,0,0.0
270,583,0,0.0
271,585,0,0.0
272,587,0,0.0
273,589,0,0.0
274,591,0,0.0
275,593,0,0.0
276,595,0,0.0
277,597,0,0.0
278,599,0,0.0
279,601,0,0.0
280,603,0,0.0
281,605,0,0.0
282,607,0,0.0
283,609,0,0.0
284,611,0,0.0
285,613,0,0.0
286,615,0,0.0
287,617,0,0.0
288,619,0,0.0
289,621,0,0.0
290,623,0,0.0
291,625,0,0.0
292,627,0,0.0
293,629,0,0.0
294,631,0,0.0
295,633,0,0.0
296,635,0,0.0
297,637,0,0.0
298,639,0,0.0
299,641,0,0.0
300,643,0,0.0
301,645,0,0.0
302,647,0,0.0
303,649,0,0.0
304,651,0,0.0
305,653,0,0.0
306,655,0,0.0
307,657,0,0.0
308,659,0,0.0
309,661,0,0.0
310,663,0,0.0
311,665,0,0.0
312,667,0,0.0
313,669,0,0.0
314,671,0,0.0
315,673,0,0.0
316,675,0,0.0
317,677,0,0.0
318,679,0,0.0
319,681,0,0.0
320,683,0,0.0
321,685,0,0.0
322,687,0,0.0
323,689,0,0.0
324,691,0,0.0
325,693,0,0.0
326,695,0,0.0
327,697,0,0.0
328,699,0,0.0
329,701,0,0.0
330,703,0,0.0
331,705,0,0.0
332,707,0,0.0
333,709,0,0.0
334,711,0,0.0
335,713,0,0.0
336,715,0,0.0
337,717,0,0.0
338,719,0,0.0
339,721,0,0.0
340,723,0,0.0
341,725,0,0.0
342,727,0,0.0
343,729,0,0.0
344,731,0,0.0
345,733,0,0.0
346,735,0,0.0
347,737,0,0.0
348,739,0,0.0
349,741,0,0.0
350,743,0,0.0
351,745,0,0.0
352,747,0,0.0
353,749,0,0.0
354,751,0,0.0
355,753,0,0.0
356,755,0,0.0
357,757,0,0.0
358,759,0,0.0
359,761,0,0.0
360,763,0,0.0
361,765,0,0.0
362,767,0,0.0
363,769,0,0.0
364,771,0,0.0
365,773,0,0.0
366,775,0,0.0
367,777,0,0.0
368,779,0,0.0
369,781,0,0.0
370,783,0,0.0
371,785,0,0.0
372,787,0,0.0
373,789,0,0.0
